img_path,label
7-Eleven/google_in_london_1.jpg,0
7-Eleven/google_in_london_10.jpg,0
7-Eleven/google_in_london_11.jpg,0
7-Eleven/google_in_london_12.jpg,0
7-Eleven/google_in_london_13.jpg,0
7-Eleven/google_in_london_14.jpg,0
7-Eleven/google_in_london_15.jpg,0
7-Eleven/google_in_london_2.jpg,0
7-Eleven/google_in_london_3.jpg,0
7-Eleven/google_in_london_4.jpg,0
7-Eleven/google_in_london_5.jpg,0
7-Eleven/google_in_london_6.jpg,0
7-Eleven/google_in_london_7.jpg,0
7-Eleven/google_in_london_8.jpg,0
7-Eleven/google_in_london_9.jpg,0
7-Eleven/google_in_new_york_1.jpg,0
7-Eleven/google_in_new_york_13.jpg,0
7-Eleven/google_in_new_york_2.jpg,0
7-Eleven/google_in_new_york_3.jpg,0
7-Eleven/google_in_new_york_4.jpg,0
7-Eleven/google_in_new_york_5.jpg,0
7-Eleven/google_in_new_york_6.jpg,0
7-Eleven/google_in_new_york_7.jpg,0
7-Eleven/google_in_new_york_8.jpg,0
7-Eleven/google_in_new_york_9.jpg,0
7-Eleven/google_street_view_10.jpg,0
7-Eleven/google_street_view_11.jpg,0
7-Eleven/google_street_view_12.jpg,0
7-Eleven/google_street_view_13.jpg,0
7-Eleven/google_street_view_14.jpg,0
7-Eleven/google_street_view_15.jpg,0
7-Eleven/google_street_view_2.jpg,0
7-Eleven/google_street_view_3.jpg,0
7-Eleven/google_street_view_4.jpg,0
7-Eleven/google_street_view_5.jpg,0
7-Eleven/google_street_view_6.jpg,0
7-Eleven/google_street_view_7.jpg,0
7-Eleven/google_street_view_8.jpg,0
7-Eleven/google_street_view_9.jpg,0
AVB Brandsource/google_in_london_3.jpg,1
AVB Brandsource/google_in_london_9.jpg,1
AVB Brandsource/google_in_new_york_1.jpg,1
AVB Brandsource/google_street_view_1.jpg,1
AVB Brandsource/google_street_view_2.jpg,1
AVB Brandsource/google_street_view_4.jpg,1
AVB Brandsource/google_street_view_5.jpg,1
Ace Hardware/google_in_london_1.jpg,2
Ace Hardware/google_in_london_10.jpg,2
